"Subject","Visualization","StartCond","Threshold","Spread","ConfidenceFitness","CompletionTime"
"c5253a8535f3683498c0f422660707f1","h","h",2.6215,1.3364,0.51414,419345
"ee25c979e93b13eb09c829b04efde8b8","h","h",3.0737,1.3712,9.3906e-06,426342
"07666f5a141bd17aeefebd7d26c6059b","h","h",2.6883,3.1434,0.0042647,499045
"f317f51db1f3140b62c94ff2f1a94d79","h","h",3.038,1.5361,0.013888,326385
"0efbc0f0c0c75eb713c23a113e125ad5","h","h",0.72611,5.2739,0.49926,370974
"9c2c7fd165b3aa898e658c3cc81da774","h","h",2.9688e-06,6.3959,0.0025029,455282
"4405d08748c9a611b1d9402ff0ec4f0e","h","h",3.7624,4.5152,0.1678,723512
"57b09a96de8226ebb05d21e3ede476c7","h","h",2.8723,3.1872,0.47922,454872
"398d4a452b2d4f1a0f4998a063b33ce8","hf","hf",3.8859,2.8919,6.2812e-06,680100
"c1d2363c85445fb7da6e4459dde7942e","hf","hf",3.5619,1.3617,0.5,273895
"b51e3794e625fc695fec34f02530f3cb","hf","hf",2.9121,1.9275,0.024909,563674
"684ddb419df8d451de701c0221799e00","hf","hf",3.7274,2.5349,0.0017302,351426
"f242c9296f0c0ab383207d9e1330a257","hf","hf",2.1864,3.073,0.11277,720154
"ac9f3afb5810f2b62647909a2909bc66","hf","hf",1.7929,2.9198,0.002386,619068
"2793ce96088ff855c673567010a6bf9d","hf","hf",2.005,2.4655,1.0309e-05,379477
"1c44a06f10b74d67471ce9fe05cd3b1f","hf","hf",2.0028,13.7253,0.0070537,314285
"b543195e76696d1b840174b1ceb5a70f","hf","hf",1.9981,2.24,0.0065932,477520
"c8355c405f2080df87459c80d52d84c0","h","h",3.2612,2.1028,0.0025,412437
"b5c9d4885fd5cbe85a01abfb6abe780f","h","h",1.2417,5.1935,0.0041014,285448
"9a3b723ede049d194259dac4a6dc6857","h","h",2.4884,2.5862,0.0018721,430443
"823314ed0676126bc658df08ced4e0d5","h","h",6.8853,2.7877,0.011523,218956
"0773731c711b6b5ef6731dba1c8fd180","h","h",2.0935,2.1957,0.0099913,449812
"d0994e03ec17397eb424534948c5ef98","h","h",3.5507,2.8642,0.0018781,407093
"e01dfb30ebb56c2e1d5739b8c13dd51a","h","h",3.1474,2.184,0.0040732,371709
"b0eb20c82e751f4624b7a90fbcaa20bd","h","h",2.3527,2.2672,0.20621,480409
"7a5ee5239ad5ea203645bf4fe328ba96","c","c",2.6161,3.6532,0.56219,653938
"f986015af1e5e3f03d790ab6ae970ac7","c","c",2.7112,1.9126,1.25e-05,366037
"9feccc190c1a5a5e8f0a33e4ae85b889","c","c",15,53.6558,0.04768,363874
"c9cafbd70fde9f26e71698f5e6edf319","c","c",3.4791,1.6344,0.77083,573983
"686c387d55a548c6d940d1313e532b92","c","c",0.27072,4.7885,0.51486,473939
"ea12346577e29221b311ab3ce29ef439","c","c",3.2882,1.6512,0.80554,517307
"ad9fe197f4d6e503cc6cde83875b7b4e","c","c",2.5462,0.98943,0.0024997,239541
"ecba72f18878c878192007c89cd7a2d6","c","c",3.3951,0.0036161,0.5,422630
"9584d2dc6b43b02473bc18777b9c72dd","c","c",2.9887,2.5806,0.62437,278062
"4fe46926201cb27962f1a4ad06e05d52","c","c",15,14.2899,0.55668,566494
"3855a6b955e21fcbe2d54bdc83922465","c","c",3.2533,2.8255,0.0099625,376009
"755a280914166f2c32d1eb7b2d4c3e47","c","c",1.3519,1.7355,0.74959,350973
"4074f1560d6b6ed13770ad735587419b","c","c",2.4617,2.5739,0.13497,319506
"6ce7935058ad0a113621029bb61e3cdd","c","c",2.2429,1.5986,0.58789,354727
"387cca91aedc37f2a19d0bc8ee756622","c","c",3.8693,1.5992,0.97219,325577
"5baf6c8c3f91da4709eabc93dea035c0","c","c",2.5893,1.1987,0.5102,306405
"fb14eddedfb3d6f491ae4142efe966d2","c","c",2.2195,1.8699,0.0041887,356344
"0ceaadc4c90683e640b489b9cbf85c2b","hf","hf",0.61389,4.2526,0.62217,377712
"58dc6c7e9e447625c6fce977283c269d","hf","hf",1.7882,0.99477,0.2163,284013
"1dc51347dcc492c7264343130abc48d2","hf","hf",2.3044,1.6748,0.0024223,536693
"68045c101bd19f07488d09dbdaf365fd","hf","hf",3.1143,3.2814,0.99005,420880
